payment_attempt_id,payment_method_id,payment_result_id,order_id,amount,payment_attmept_ts
122,5,2,108,863.12,2024-04-04 04:52:39
123,9,2,109,2131.96,2024-01-27 14:45:11
124,1,2,110,18303.84,2024-03-31 16:25:50
125,9,2,111,2004.88,2024-05-31 02:35:55
126,10,2,112,268.62,2024-07-01 10:47:23
127,3,2,113,578.27,2024-05-13 12:21:27
128,1,3,114,10985.28,2024-05-01 22:42:56
129,4,2,114,10985.28,2024-05-01 23:05:56
130,2,2,115,2376.12,2023-12-03 00:28:10
131,7,2,116,1347.78,2023-11-20 19:10:18
132,7,4,116,1347.78,2023-11-23 19:10:18
133,4,3,117,3998.83,2024-05-12 23:17:15
134,3,2,117,3998.83,2024-05-12 23:47:15
135,7,2,118,449.79,2024-06-28 09:52:19
136,7,3,119,290.37,2024-03-10 03:47:49
137,4,2,119,290.37,2024-03-10 03:57:49
138,3,2,120,2511.88,2024-02-18 04:54:27
139,7,3,121,220.54,2023-12-09 07:03:14
140,8,2,121,220.54,2023-12-09 07:12:14
141,4,3,122,82.03,2024-07-30 04:49:48
142,6,2,122,82.03,2024-07-30 05:00:48
143,4,2,123,792.82,2023-09-19 04:37:29
144,7,2,124,9007.44,2024-07-11 19:29:44
145,5,2,125,3441.61,2024-03-19 13:16:07
146,7,2,126,347.84,2024-04-21 12:27:55
147,6,3,127,950.14,2024-05-02 20:07:08
148,5,2,128,6222.35,2024-05-16 14:46:50
149,1,2,129,1743.37,2023-06-23 06:59:49
150,6,2,130,1735.95,2023-11-17 08:10:36
151,7,2,131,1225.94,2024-06-07 13:09:53
152,2,2,132,11771.01,2024-01-14 11:33:02
153,4,2,133,1527.3,2023-08-04 02:19:37
154,1,2,134,700.54,2023-08-10 16:28:05
155,4,2,135,1039.11,2024-02-21 12:59:15
156,6,2,136,778.29,2024-08-10 02:29:19
157,5,2,137,1148.45,2023-07-04 17:37:52
158,6,2,138,43937.34,2023-06-14 11:38:12
159,9,2,139,1578.82,2024-04-24 02:32:09
160,7,2,140,1844.94,2024-05-29 07:24:07
161,10,2,141,116.13,2024-02-29 02:36:13
162,9,3,142,632.39,2023-06-24 20:50:19
163,5,2,142,632.39,2023-06-24 20:58:19
164,7,2,143,2461.5,2024-01-19 02:46:52
165,8,2,144,1448.35,2024-06-24 11:34:29
166,9,2,145,931.6,2024-08-16 19:27:46
167,2,2,146,2382.4,2023-06-12 02:28:28
168,2,3,147,5446.89,2023-10-14 23:25:29
169,4,2,147,5446.89,2023-10-14 23:48:29
170,5,2,148,1026.81,2024-01-17 17:19:38
171,3,2,149,136.38,2023-12-05 04:14:48
172,8,2,150,8037.44,2024-05-31 10:52:12
173,8,2,151,2908.04,2024-07-22 00:28:20
174,4,2,152,457.05,2024-02-24 20:50:00
175,8,2,153,6023.3,2024-01-12 10:27:29
176,1,3,154,16095.39,2024-02-28 10:36:17
177,2,2,154,16095.39,2024-02-28 11:02:17
178,7,2,155,956.78,2024-05-26 15:25:00
179,8,2,156,631.89,2024-07-16 04:20:14
180,2,2,157,1585.94,2024-05-22 08:12:08
181,9,2,158,1572.22,2023-07-22 13:23:06
182,9,4,158,1572.22,2023-07-28 13:23:06
183,8,2,159,346.44,2024-08-24 15:35:04
184,7,3,160,1579.29,2024-08-02 06:01:13
185,8,2,160,1579.29,2024-08-02 06:31:13
186,3,2,161,9885.44,2024-04-24 17:37:39
187,8,2,162,11999.6,2023-09-04 00:49:32
188,5,2,163,805.16,2024-05-08 03:15:39
189,8,2,164,3095.38,2024-06-20 08:23:44
190,8,2,165,1278.77,2023-12-25 21:35:30
191,4,2,166,1671.14,2024-06-17 19:26:14
192,9,2,167,408.98,2024-03-01 04:11:42
193,4,2,168,1013.99,2024-01-19 04:33:49
194,4,2,169,1338.0,2023-11-24 22:08:07
195,6,2,170,1151.63,2024-08-19 12:27:42
196,1,2,171,699.23,2023-08-05 23:18:33
197,7,3,172,3393.45,2023-10-20 07:01:15
198,1,2,172,3393.45,2023-10-20 07:30:15
199,10,2,173,275.05,2024-06-14 01:25:36
200,6,2,174,1286.83,2024-04-02 21:55:44
201,7,2,175,2153.15,2023-07-02 17:42:40
202,10,3,176,1095.84,2023-09-03 17:31:22
203,4,2,176,1095.84,2023-09-03 17:41:22
204,7,2,177,510.96,2024-02-27 04:27:39
205,6,2,178,8480.08,2024-03-01 23:56:44
206,3,3,179,1227.28,2023-09-06 23:08:08
207,10,2,179,1227.28,2023-09-06 23:27:08
208,1,3,180,3952.75,2024-01-25 17:42:42
209,10,2,180,3952.75,2024-01-25 18:05:42
210,1,2,181,2899.82,2024-08-16 07:50:53
211,3,3,182,1007.33,2024-05-01 21:21:44
212,1,2,182,1007.33,2024-05-01 21:31:44
213,7,2,183,671.79,2024-07-23 21:07:45
214,6,2,184,2907.69,2024-01-20 11:06:58
215,5,2,185,469.42,2023-10-25 00:36:32
216,5,3,186,16209.5,2023-09-07 19:34:21
217,1,2,186,16209.5,2023-09-07 19:59:21
218,9,2,187,2808.7,2024-08-13 20:51:06
219,4,2,188,147.08,2024-07-06 10:37:19
220,1,3,189,3672.25,2023-07-09 21:59:47
221,1,2,190,2348.6,2024-07-25 22:54:32
222,3,2,191,2858.87,2024-01-10 07:54:07
223,10,3,192,7571.07,2024-05-14 18:43:28
224,5,2,193,100.93,2024-05-30 20:11:17
225,10,2,194,2004.36,2024-01-14 11:49:20
226,3,3,195,2023.73,2023-07-16 11:35:23
227,10,2,196,3328.77,2023-08-11 08:22:01
228,10,2,197,8029.36,2024-07-05 02:26:33
229,7,3,198,870.31,2023-11-19 13:53:22
230,2,2,199,22799.41,2023-10-28 23:46:49
231,2,2,200,3487.07,2024-03-06 05:46:28
232,10,3,201,548.18,2023-10-08 21:11:31
233,10,2,201,548.18,2023-10-08 21:38:31
234,1,2,202,4114.29,2024-06-28 07:46:26
235,6,2,203,483.85,2024-06-17 16:38:36
236,1,3,204,1599.54,2023-07-24 09:28:48
237,8,2,204,1599.54,2023-07-24 09:33:48
238,7,3,205,1459.92,2024-02-22 15:23:56
239,8,2,206,4476.51,2024-07-14 06:03:34
240,3,2,207,2723.74,2024-07-13 12:42:34
241,10,3,208,480.08,2024-06-20 22:53:03
242,8,2,208,480.08,2024-06-20 23:09:03
243,7,3,209,2490.32,2023-10-13 21:56:51
244,5,2,209,2490.32,2023-10-13 22:08:51
245,4,3,210,956.12,2023-07-31 07:19:23
246,5,2,210,956.12,2023-07-31 07:49:23
247,8,2,211,1746.11,2023-12-14 13:15:33
248,10,2,212,1387.97,2023-08-09 06:55:43
249,6,2,213,2467.05,2023-06-17 08:17:25
250,3,2,214,691.01,2024-07-26 01:51:52
251,5,2,215,261.94,2024-01-17 08:25:21
252,9,2,216,860.72,2024-03-28 22:24:37
253,2,2,217,1107.65,2023-11-27 17:21:11
254,8,2,218,1143.88,2023-10-20 20:10:52
255,8,2,219,1093.93,2024-01-18 02:45:06
256,8,2,220,849.5,2024-01-21 20:43:36
257,5,2,221,805.32,2024-03-22 04:39:03
258,5,2,222,1019.58,2023-08-03 05:31:42
259,8,2,223,142.66,2024-05-01 11:19:06
260,7,2,224,248.09,2024-05-24 07:28:56
261,7,4,224,248.09,2024-05-30 07:28:56
262,6,2,225,649.66,2024-05-14 14:02:23
263,5,2,226,698.22,2023-07-07 07:25:11
264,4,2,227,1224.71,2024-02-27 18:05:18
265,3,2,228,2459.25,2023-08-11 03:41:58
266,5,2,229,812.92,2024-08-22 09:18:06
267,10,2,230,290.68,2024-04-22 19:05:29
268,4,2,231,276.93,2024-05-15 05:51:39
269,3,2,232,4285.99,2023-06-21 01:55:03
270,3,2,233,1197.28,2023-09-13 04:34:52
271,9,2,234,253.82,2024-01-19 19:39:12
272,8,2,235,532.34,2023-06-06 05:31:33
273,10,2,236,1020.89,2023-06-16 10:55:37
274,8,2,237,2077.27,2024-06-30 03:58:07
275,5,3,238,1825.64,2024-03-10 22:48:47
276,2,3,239,3910.8,2023-12-08 03:33:39
277,8,2,239,3910.8,2023-12-08 03:37:39
278,10,2,240,768.64,2023-09-11 09:37:22
279,3,2,241,14502.27,2023-09-28 17:27:33
280,5,2,242,2857.91,2023-09-14 16:17:38
281,2,2,243,24.34,2023-07-14 18:10:10
282,10,2,244,1457.71,2024-05-05 04:17:18
283,9,2,245,1932.89,2024-07-04 18:10:00
284,5,3,246,1370.73,2023-10-14 03:06:09
285,5,2,246,1370.73,2023-10-14 03:26:09
286,10,2,247,390.15,2024-07-24 05:02:20
287,4,2,248,692.62,2023-06-07 01:56:09
288,2,2,249,4943.51,2024-01-14 04:07:30
289,9,2,250,18350.66,2024-01-05 05:22:19
290,7,2,251,236.52,2023-10-22 12:12:31
291,5,2,252,1289.31,2024-03-05 15:25:30
292,5,2,253,387.94,2024-07-19 15:37:19
293,2,2,254,929.97,2024-02-29 23:06:08
294,10,2,255,1470.38,2024-05-24 11:38:22
295,7,2,256,3875.67,2023-09-21 00:35:30
296,3,3,257,1260.72,2024-08-14 11:06:13
297,3,2,257,1260.72,2024-08-14 11:10:13
298,1,2,258,1174.57,2024-03-14 22:59:41
299,10,2,259,4302.35,2023-11-10 19:19:36
300,5,2,260,5362.36,2024-05-09 20:51:00
301,5,2,261,5882.78,2023-06-01 01:26:52
302,9,2,262,6815.98,2023-12-10 03:57:19
303,2,2,263,2010.11,2023-11-11 08:09:50
304,6,2,264,1989.9,2023-08-24 19:56:45
305,2,2,265,94.84,2023-07-20 01:30:35
306,10,3,266,700.54,2023-07-15 09:54:24
307,5,2,267,4995.57,2024-04-22 09:07:04
308,8,2,268,151.02,2023-09-04 14:06:07
309,5,2,269,13295.0,2024-05-22 21:09:53
310,8,3,270,647.45,2023-12-20 22:03:37
311,6,2,271,22459.3,2024-05-15 13:15:41
312,2,3,272,75.36,2024-04-15 18:34:37
313,7,2,272,75.36,2024-04-15 18:58:37
314,8,2,273,18825.24,2024-07-04 03:53:48
315,9,2,274,3709.46,2023-12-24 04:40:28
316,6,2,275,746.64,2023-11-07 08:54:35
317,7,3,276,2104.6,2023-12-31 19:42:55
318,1,2,276,2104.6,2023-12-31 20:05:55
319,9,2,277,5619.36,2024-07-04 16:57:08
320,4,2,278,1593.78,2023-12-02 22:16:37
321,8,2,279,2901.59,2024-03-09 11:23:59
322,5,2,280,1249.68,2023-09-24 21:15:49
323,8,3,281,51393.36,2024-04-27 05:39:58
324,2,2,281,51393.36,2024-04-27 05:41:58
325,10,2,282,1757.42,2024-02-22 19:27:03
326,5,2,283,1256.22,2023-10-20 20:25:42
327,7,2,284,7520.02,2023-11-11 21:09:49
328,8,3,285,500.9,2024-05-31 07:45:01
329,3,2,286,3165.67,2023-11-19 20:07:48
330,9,2,287,958.24,2024-01-27 01:59:17
331,8,2,288,597.63,2023-08-01 21:25:09
332,8,4,288,597.63,2023-08-09 21:25:09
333,9,2,289,2175.06,2024-01-21 04:22:37
334,10,2,290,611.66,2023-08-30 10:41:17
335,2,2,291,704.19,2024-07-04 02:12:16
336,6,3,292,608.15,2024-07-31 16:13:10
337,5,3,293,124.26,2023-12-14 16:38:00
338,5,2,293,124.26,2023-12-14 17:06:00
339,10,2,294,790.35,2024-06-07 16:42:48
340,3,2,295,706.74,2024-07-20 12:05:26
341,6,2,296,3499.83,2024-05-30 20:54:45
342,7,2,297,984.83,2023-08-18 06:47:32
343,4,2,298,8476.47,2024-07-06 03:31:47
344,4,4,298,8476.47,2024-07-16 03:31:47
345,7,2,299,106.68,2024-03-07 16:01:48
346,1,2,300,305.68,2024-05-08 15:13:12
347,7,2,301,915.91,2023-10-30 08:30:25
348,8,3,302,1964.35,2024-08-10 04:43:02
349,9,3,303,332.84,2023-10-18 12:45:41
350,2,3,304,220.12,2023-07-24 13:59:38
351,2,2,304,220.12,2023-07-24 14:17:38
352,8,2,305,1101.44,2024-02-05 03:57:44
353,7,3,306,120.89,2024-05-04 23:15:54
354,2,2,306,120.89,2024-05-04 23:32:54
355,5,2,307,4263.63,2024-08-08 15:57:59
356,2,3,308,1997.82,2023-07-11 14:30:45
357,9,2,308,1997.82,2023-07-11 14:44:45
358,6,2,309,1479.68,2024-03-12 17:05:06
359,9,2,310,3435.14,2024-07-23 07:55:09
360,4,2,311,889.8,2024-02-23 11:46:38
361,4,2,312,2042.04,2023-08-01 12:17:16
362,2,2,313,1960.27,2024-01-08 18:31:55
363,8,2,314,1494.98,2023-10-29 14:53:46
364,1,2,315,1108.33,2024-04-28 05:33:07
365,5,2,316,265.14,2024-02-23 03:05:09
366,3,2,317,267.88,2024-07-07 05:22:18
367,10,2,318,3356.56,2024-03-04 01:24:29
368,3,2,319,1383.74,2023-11-08 17:06:20
369,10,2,320,15388.12,2023-08-28 23:36:26
370,10,2,321,3264.58,2024-01-25 23:03:10
371,5,2,322,2146.35,2023-09-21 05:33:13
372,8,3,323,396.54,2024-06-20 19:35:01
373,9,2,323,396.54,2024-06-20 19:42:01
374,2,2,324,2436.72,2024-04-24 20:01:40
375,10,2,325,468.34,2023-06-23 10:01:23
376,5,2,326,393.12,2024-03-02 17:03:19
377,4,2,327,19226.03,2024-07-23 02:49:37
378,4,4,327,19226.03,2024-07-31 02:49:37
379,2,2,328,22640.19,2023-07-07 18:57:11
380,6,2,329,8613.22,2024-06-16 18:05:20
381,1,2,330,582.66,2024-02-29 07:10:16
382,1,4,330,582.66,2024-03-07 07:10:16
383,5,2,331,1712.6,2023-06-03 18:38:55
384,10,2,332,7328.76,2023-09-22 19:55:47
385,4,2,333,5102.71,2023-11-30 04:45:46
386,4,2,334,4135.96,2023-08-26 00:22:28
387,3,2,335,3952.73,2024-07-01 09:32:00
388,5,2,336,3098.18,2024-03-23 12:49:59
389,10,2,337,1443.18,2024-06-30 18:48:06
390,2,3,338,2182.11,2023-08-31 18:37:28
391,7,2,338,2182.11,2023-08-31 18:44:28
392,4,2,339,670.02,2023-09-28 01:46:54
393,6,2,340,42101.94,2024-03-05 18:13:48
394,3,2,341,3793.53,2023-06-04 17:00:19
395,5,2,342,2776.81,2023-08-16 05:13:21
396,2,2,343,303.32,2024-02-01 15:14:20
397,3,2,344,299.76,2024-03-20 18:12:08
398,7,3,345,602.06,2023-12-25 19:38:27
399,9,2,346,946.54,2024-01-28 15:13:41
400,1,2,347,2711.1,2024-04-01 18:05:22
401,8,2,348,827.08,2024-08-14 16:45:45
402,10,2,349,310.52,2024-05-13 20:30:48
403,2,2,350,1949.47,2024-07-15 15:54:55
404,1,2,351,10554.21,2023-06-03 22:52:42
405,6,3,352,8028.96,2024-08-11 17:28:09
406,2,2,352,8028.96,2024-08-11 17:50:09
407,8,3,353,902.39,2024-03-13 17:30:59
408,7,2,353,902.39,2024-03-13 17:35:59
409,3,2,354,331.85,2023-09-18 16:26:14
410,5,2,355,1711.25,2023-06-03 02:52:28
411,5,4,355,1711.25,2023-06-05 02:52:28
412,4,3,356,2392.82,2023-12-07 02:38:24
413,7,2,356,2392.82,2023-12-07 02:54:24
414,6,2,357,1885.98,2024-07-16 16:22:53
415,7,2,358,801.82,2024-05-08 12:27:01
416,7,2,359,1583.31,2024-07-29 18:02:52
417,10,2,360,124.34,2023-12-26 16:09:03
418,1,2,361,1633.76,2024-07-21 18:18:40
419,8,2,362,806.96,2023-12-13 20:52:19
420,6,2,363,1705.46,2024-05-10 23:55:34
421,9,3,364,2956.04,2023-09-11 07:48:42
422,6,2,364,2956.04,2023-09-11 07:51:42
423,7,2,365,5598.64,2023-07-11 21:43:38
424,8,2,366,1537.37,2024-06-19 18:09:56
425,10,2,367,2042.92,2024-05-11 06:24:48
426,10,4,367,2042.92,2024-05-24 06:24:48
427,6,2,368,31321.15,2024-01-04 06:27:53
428,10,2,369,2192.28,2024-03-11 13:59:12
429,4,2,370,918.8,2023-08-08 20:35:38
430,6,2,371,1629.3,2023-09-19 08:30:59
431,5,3,372,7606.12,2023-08-02 11:56:06
432,3,2,372,7606.12,2023-08-02 12:15:06
433,5,2,373,22756.04,2024-04-19 04:56:11
434,1,2,374,3503.74,2024-04-30 09:48:25
435,4,2,375,276.12,2023-09-29 21:17:00
436,3,2,376,300.7,2024-03-07 01:02:58
437,7,2,377,1367.84,2024-05-01 12:19:51
438,8,2,378,2280.68,2024-05-05 11:59:08
439,9,2,379,2648.29,2024-03-03 07:55:01
440,9,2,380,1442.98,2024-02-29 00:45:26
441,9,2,381,2415.17,2023-12-28 17:27:45
442,1,2,382,123.68,2024-06-15 17:53:10
443,1,4,382,123.68,2024-06-22 17:53:10
444,7,2,383,1966.82,2023-07-27 20:33:55
445,8,2,384,288.72,2023-08-04 22:29:32
446,6,2,385,31.76,2023-11-07 15:24:07
447,3,2,386,1478.1,2024-07-02 12:09:19
448,6,2,387,1254.46,2024-06-12 01:17:05
449,5,2,388,1609.89,2024-04-18 23:06:32
450,2,2,389,2556.92,2023-06-08 05:51:20
451,9,2,390,1943.33,2024-06-29 02:17:05
452,7,2,391,1578.31,2024-07-08 20:50:23
453,7,2,392,1439.7,2024-03-17 05:38:19
454,7,2,393,106.92,2024-07-02 20:33:17
455,6,2,394,3396.59,2024-06-04 02:44:49
456,6,3,395,2507.07,2024-05-03 02:04:25
457,8,2,396,23283.86,2023-09-07 03:03:24
458,2,2,397,8479.04,2023-07-02 11:39:02
459,3,2,398,798.4,2023-12-15 06:17:25
460,9,2,399,1194.22,2024-01-21 22:43:34
461,7,2,400,2189.56,2024-04-03 15:03:03
462,1,3,401,17556.46,2024-03-08 23:17:44
463,5,2,402,45088.42,2023-09-18 10:06:49
464,9,2,403,693.98,2024-03-25 07:18:27
465,4,3,404,130.5,2024-04-24 09:03:35
466,9,2,404,130.5,2024-04-24 09:16:35
467,2,2,405,41.36,2023-12-31 04:00:47
468,4,3,406,5389.49,2024-02-24 01:22:27
469,9,2,406,5389.49,2024-02-24 01:48:27
470,10,2,407,1204.4,2023-08-07 10:10:20
471,1,2,408,8462.55,2023-09-10 15:28:02
472,1,2,409,1093.28,2023-12-05 11:15:03
473,6,2,410,559.88,2023-09-11 21:24:46
474,3,2,411,8465.07,2023-06-08 10:48:21
475,2,2,412,4219.62,2024-06-08 04:45:04
476,2,2,413,64.36,2023-06-05 02:26:37
477,7,2,414,1269.84,2023-12-15 07:27:31
478,3,2,415,748.87,2024-05-30 00:05:06
479,10,2,416,3530.06,2023-10-20 01:40:47
480,3,2,417,3908.88,2024-03-20 04:27:49
481,2,2,418,2267.13,2023-08-14 21:03:18
482,8,2,419,1139.89,2024-06-16 21:03:24
483,5,2,420,850.96,2024-04-09 19:22:05
484,2,2,421,2190.3,2024-07-04 15:09:33
485,5,2,422,2501.95,2023-09-24 01:31:02
486,9,2,423,16703.71,2024-08-17 19:32:12
487,4,2,424,4899.94,2024-07-28 01:56:48
488,1,2,425,1131.17,2024-01-03 09:41:51
489,3,2,426,902.19,2024-01-17 00:14:02
490,6,2,427,1854.58,2023-12-03 02:38:04
491,7,2,428,2298.69,2024-06-28 22:06:45
492,9,2,429,572.08,2024-02-10 15:39:12
493,9,3,430,1366.33,2023-07-11 19:39:48
494,6,2,430,1366.33,2023-07-11 19:43:48
495,7,3,431,2265.64,2024-03-22 19:19:31
496,7,2,431,2265.64,2024-03-22 19:21:31
497,8,3,432,18692.58,2024-06-28 09:22:18
498,6,2,433,3689.75,2023-06-30 03:41:44
499,7,2,434,131.95,2024-07-18 06:00:17
500,5,2,435,2276.24,2024-04-16 03:48:09
501,6,2,436,133.7,2024-07-09 02:23:19
502,6,2,437,2130.24,2024-06-05 18:40:00
503,4,2,438,624.18,2024-01-22 18:00:51
504,9,2,439,26727.27,2024-06-06 21:23:18
505,6,2,440,1116.52,2024-03-31 03:57:21
506,2,2,441,933.41,2024-02-10 07:24:31
507,9,2,442,13813.47,2024-02-15 00:54:33
508,6,2,443,17290.64,2024-05-12 04:15:06
509,4,2,444,2608.01,2024-03-22 09:43:13
510,4,2,445,7360.28,2023-07-31 08:10:33
511,2,2,446,3761.27,2023-10-04 05:08:36
512,8,2,447,910.78,2024-01-05 12:15:39
513,10,2,448,2209.42,2024-01-20 09:46:31
514,6,2,449,10620.42,2023-09-02 22:59:21
515,8,2,450,118.77,2023-10-23 11:41:16
516,5,2,451,459.24,2024-02-28 14:28:42
517,9,2,452,799.92,2023-11-22 06:56:45
518,8,2,453,18133.99,2024-04-01 14:23:48
519,5,2,454,667.04,2024-05-04 01:06:04
520,10,2,455,1822.51,2024-03-22 14:15:34
521,8,2,456,184.9,2024-03-08 01:01:11
522,8,3,457,12554.86,2024-01-08 22:38:43
523,4,2,457,12554.86,2024-01-08 22:50:43
524,10,2,458,1115.58,2024-03-11 12:55:21
525,1,2,459,1448.57,2024-02-05 21:30:08
526,2,2,460,617.02,2023-09-04 13:39:33
527,1,2,461,4211.97,2023-06-20 18:34:34
528,8,2,462,2976.33,2024-04-18 23:44:08
529,6,2,463,766.78,2024-07-13 09:20:39
530,7,2,464,291.0,2023-10-28 23:41:59
531,10,2,465,452.34,2024-04-11 08:20:50
532,2,2,466,3159.02,2024-01-15 11:56:01
533,7,2,467,493.22,2023-12-29 12:17:03
534,6,2,468,3104.4,2024-07-24 03:04:27
535,6,2,469,4917.61,2023-08-14 16:58:52
536,3,2,470,3448.06,2023-10-17 08:51:54
537,5,2,471,417.18,2023-06-07 13:09:26
538,3,2,472,31220.44,2024-04-13 02:08:12
539,2,2,473,7126.7,2024-05-04 02:44:10
540,9,2,474,2358.38,2023-07-01 08:55:26
541,5,2,475,2984.65,2024-04-25 04:00:22
542,6,3,476,157.57,2024-06-07 08:50:35
543,4,2,477,1156.39,2023-08-17 22:23:12
