price_history_id,product_id,amount,valid_from,valid_to
70,28,35.0,2023-02-01 00:00:00,2023-06-15 00:00:00
71,28,27.85,2023-06-15 00:00:01,2023-08-08 00:00:01
72,28,33.49,2023-08-08 00:00:02,2023-12-06 00:00:02
73,28,30.65,2023-12-06 00:00:03,
74,29,74.94,2023-03-28 00:00:00,
75,30,165.44,2023-02-21 00:00:00,
76,31,79.21,2023-02-01 00:00:00,
77,32,587.45,2023-02-24 00:00:00,2023-07-22 00:00:00
78,32,604.32,2023-07-22 00:00:01,
79,33,600.44,2023-03-12 00:00:00,2023-08-27 00:00:00
80,33,799.82,2023-08-27 00:00:01,2023-10-19 00:00:01
81,33,824.22,2023-10-19 00:00:02,2024-01-17 00:00:02
82,33,618.92,2024-01-17 00:00:03,
83,34,6063.46,2023-02-21 00:00:00,2023-05-04 00:00:00
84,34,5015.04,2023-05-04 00:00:01,
85,35,173.56,2023-04-11 00:00:00,2023-07-23 00:00:00
86,35,151.96,2023-07-23 00:00:01,2024-01-11 00:00:01
87,35,166.21,2024-01-11 00:00:02,
88,36,159.67,2023-02-07 00:00:00,2023-03-23 00:00:00
89,36,184.31,2023-03-23 00:00:01,
90,37,5179.74,2023-01-08 00:00:00,2023-06-09 00:00:00
91,37,6257.79,2023-06-09 00:00:01,2023-11-21 00:00:01
92,37,5435.24,2023-11-21 00:00:02,
93,38,2984.65,2023-01-24 00:00:00,
94,39,251.64,2023-02-21 00:00:00,2023-08-15 00:00:00
95,39,265.8,2023-08-15 00:00:01,
96,40,62.79,2023-02-23 00:00:00,
97,41,84.7,2023-02-03 00:00:00,2023-05-24 00:00:00
98,41,85.95,2023-05-24 00:00:01,2023-10-02 00:00:01
99,41,82.03,2023-10-02 00:00:02,
100,42,330.62,2023-02-10 00:00:00,2023-03-30 00:00:00
101,42,231.05,2023-03-30 00:00:01,2023-09-20 00:00:01
102,42,337.88,2023-09-20 00:00:02,2023-11-07 00:00:02
103,42,288.25,2023-11-07 00:00:03,
104,43,1121.75,2023-02-14 00:00:00,2023-05-17 00:00:00
105,43,930.93,2023-05-17 00:00:01,
106,44,111.3,2023-03-20 00:00:00,2023-09-01 00:00:00
107,44,76.36,2023-09-01 00:00:01,2024-02-19 00:00:01
108,44,86.79,2024-02-19 00:00:02,
109,45,3993.76,2023-02-03 00:00:00,2023-04-01 00:00:00
110,45,5111.42,2023-04-01 00:00:01,
111,46,56.85,2023-03-19 00:00:00,2023-07-14 00:00:00
112,46,56.68,2023-07-14 00:00:01,2023-10-19 00:00:01
113,46,64.02,2023-10-19 00:00:02,
114,47,100.93,2023-01-12 00:00:00,
115,48,124.35,2023-01-01 00:00:00,
116,49,147.47,2023-01-21 00:00:00,2023-07-11 00:00:00
117,49,145.64,2023-07-11 00:00:01,2023-12-31 00:00:01
118,49,109.83,2023-12-31 00:00:02,
119,50,234.17,2023-03-11 00:00:00,2023-07-13 00:00:00
120,50,293.39,2023-07-13 00:00:01,
121,51,180.0,2023-01-06 00:00:00,2023-02-15 00:00:00
122,51,223.7,2023-02-15 00:00:01,
123,52,27.08,2023-03-27 00:00:00,2023-09-16 00:00:00
124,52,36.58,2023-09-16 00:00:01,
125,53,26.26,2023-01-31 00:00:00,2023-04-16 00:00:00
126,53,26.41,2023-04-16 00:00:01,
127,54,89.38,2023-04-11 00:00:00,2023-07-13 00:00:00
128,54,69.96,2023-07-13 00:00:01,2023-09-08 00:00:01
129,54,73.34,2023-09-08 00:00:02,
130,55,333.39,2023-01-29 00:00:00,2023-06-25 00:00:00
131,55,354.92,2023-06-25 00:00:01,2023-09-21 00:00:01
132,55,336.74,2023-09-21 00:00:02,2023-12-09 00:00:02
133,55,361.92,2023-12-09 00:00:03,
134,56,408.87,2023-04-09 00:00:00,
135,57,574.33,2023-03-28 00:00:00,2023-09-11 00:00:00
136,57,454.14,2023-09-11 00:00:01,2023-10-18 00:00:01
137,57,414.24,2023-10-18 00:00:02,2024-01-22 00:00:02
138,57,425.93,2024-01-22 00:00:03,
139,58,138.16,2023-01-05 00:00:00,2023-05-26 00:00:00
140,58,152.84,2023-05-26 00:00:01,2023-09-13 00:00:01
141,58,158.45,2023-09-13 00:00:02,
142,59,1165.61,2023-02-19 00:00:00,
143,60,301.85,2023-04-01 00:00:00,
144,61,163.64,2023-02-16 00:00:00,2023-06-10 00:00:00
145,61,175.93,2023-06-10 00:00:01,
146,62,56.51,2023-04-03 00:00:00,
147,63,159.12,2023-02-11 00:00:00,2023-05-27 00:00:00
148,63,168.69,2023-05-27 00:00:01,2023-08-14 00:00:01
149,63,160.25,2023-08-14 00:00:02,2023-12-19 00:00:02
150,63,176.42,2023-12-19 00:00:03,
151,64,75.91,2023-02-21 00:00:00,2023-03-23 00:00:00
152,64,68.98,2023-03-23 00:00:01,2023-06-14 00:00:01
153,64,72.56,2023-06-14 00:00:02,
154,65,105.21,2023-03-01 00:00:00,2023-05-24 00:00:00
155,65,108.05,2023-05-24 00:00:01,2023-08-05 00:00:01
156,65,114.1,2023-08-05 00:00:02,
157,66,41.73,2023-01-12 00:00:00,2023-04-12 00:00:00
158,66,39.66,2023-04-12 00:00:01,2023-07-08 00:00:01
159,66,41.56,2023-07-08 00:00:02,
160,67,663.51,2023-02-01 00:00:00,
161,68,416.05,2023-02-28 00:00:00,
162,69,231.16,2023-04-02 00:00:00,2023-09-05 00:00:00
163,69,206.85,2023-09-05 00:00:01,
164,70,79.39,2023-04-07 00:00:00,
165,71,72.3,2023-01-29 00:00:00,2023-07-10 00:00:00
166,71,81.37,2023-07-10 00:00:01,2023-12-29 00:00:01
167,71,74.61,2023-12-29 00:00:02,2024-02-28 00:00:02
168,71,81.12,2024-02-28 00:00:03,
169,72,236.51,2023-04-07 00:00:00,2023-09-13 00:00:00
170,72,200.08,2023-09-13 00:00:01,2024-03-01 00:00:01
171,72,201.58,2024-03-01 00:00:02,
172,73,503.02,2023-02-27 00:00:00,2023-05-31 00:00:00
173,73,625.53,2023-05-31 00:00:01,2023-09-08 00:00:01
174,73,609.9,2023-09-08 00:00:02,2024-02-18 00:00:02
175,73,550.57,2024-02-18 00:00:03,
176,74,384.82,2023-01-10 00:00:00,2023-04-10 00:00:00
177,74,324.92,2023-04-10 00:00:01,2023-07-30 00:00:01
178,74,409.15,2023-07-30 00:00:02,2023-09-18 00:00:02
179,74,306.84,2023-09-18 00:00:03,
180,75,58.67,2023-04-01 00:00:00,2023-08-15 00:00:00
181,75,63.53,2023-08-15 00:00:01,
182,76,38.89,2023-01-08 00:00:00,2023-05-25 00:00:00
183,76,41.94,2023-05-25 00:00:01,2023-11-20 00:00:01
184,76,51.23,2023-11-20 00:00:02,2023-12-25 00:00:02
185,76,49.74,2023-12-25 00:00:03,
186,77,72.43,2023-03-03 00:00:00,2023-07-01 00:00:00
187,77,82.38,2023-07-01 00:00:01,2023-11-07 00:00:01
188,77,101.24,2023-11-07 00:00:02,2024-03-23 00:00:02
189,77,90.53,2024-03-23 00:00:03,
190,78,227.02,2023-03-04 00:00:00,2023-07-23 00:00:00
191,78,252.79,2023-07-23 00:00:01,
192,79,187.04,2023-04-03 00:00:00,2023-08-30 00:00:00
193,79,248.67,2023-08-30 00:00:01,2024-02-12 00:00:01
194,79,175.76,2024-02-12 00:00:02,2024-06-21 00:00:02
195,79,221.9,2024-06-21 00:00:03,
196,80,180.81,2023-03-24 00:00:00,
197,81,24.5,2023-01-07 00:00:00,2023-04-30 00:00:00
198,81,24.0,2023-04-30 00:00:01,
199,82,105.86,2023-02-05 00:00:00,2023-06-22 00:00:00
200,82,87.47,2023-06-22 00:00:01,2023-08-11 00:00:01
201,82,95.5,2023-08-11 00:00:02,2024-01-26 00:00:02
202,82,80.11,2024-01-26 00:00:03,
203,83,105.35,2023-03-25 00:00:00,2023-05-04 00:00:00
204,83,138.27,2023-05-04 00:00:01,
205,84,262.02,2023-01-03 00:00:00,2023-04-04 00:00:00
206,84,214.78,2023-04-04 00:00:01,
207,85,344.65,2023-03-01 00:00:00,2023-07-03 00:00:00
208,85,279.78,2023-07-03 00:00:01,
209,86,137.39,2023-04-10 00:00:00,
210,87,116.31,2023-03-16 00:00:00,
211,88,94.91,2023-02-20 00:00:00,2023-05-11 00:00:00
212,88,68.13,2023-05-11 00:00:01,2023-08-11 00:00:01
213,88,68.93,2023-08-11 00:00:02,2023-11-26 00:00:02
214,88,92.09,2023-11-26 00:00:03,
215,89,185.24,2023-03-14 00:00:00,
216,90,253.04,2023-03-26 00:00:00,2023-09-01 00:00:00
217,90,281.12,2023-09-01 00:00:01,2023-10-04 00:00:01
218,90,301.61,2023-10-04 00:00:02,2024-03-07 00:00:02
219,90,226.17,2024-03-07 00:00:03,
220,91,80.96,2023-04-01 00:00:00,2023-06-15 00:00:00
221,91,101.6,2023-06-15 00:00:01,2023-09-22 00:00:01
222,91,97.41,2023-09-22 00:00:02,2024-03-07 00:00:02
223,91,103.05,2024-03-07 00:00:03,
224,92,305.66,2023-02-11 00:00:00,2023-04-04 00:00:00
225,92,246.84,2023-04-04 00:00:01,2023-08-27 00:00:01
226,92,243.24,2023-08-27 00:00:02,
227,93,64.64,2023-02-13 00:00:00,2023-06-06 00:00:00
228,93,69.23,2023-06-06 00:00:01,2023-08-29 00:00:01
229,93,74.42,2023-08-29 00:00:02,2023-12-03 00:00:02
230,93,73.99,2023-12-03 00:00:03,
231,94,50.52,2023-03-13 00:00:00,2023-05-30 00:00:00
232,94,52.3,2023-05-30 00:00:01,2023-10-11 00:00:01
233,94,61.84,2023-10-11 00:00:02,
234,95,199.7,2023-03-24 00:00:00,2023-08-15 00:00:00
235,95,205.41,2023-08-15 00:00:01,2023-10-07 00:00:01
236,95,170.3,2023-10-07 00:00:02,2024-02-17 00:00:02
237,95,198.29,2024-02-17 00:00:03,
238,96,186.89,2023-03-02 00:00:00,2023-06-28 00:00:00
239,96,177.96,2023-06-28 00:00:01,2023-12-15 00:00:01
240,96,171.36,2023-12-15 00:00:02,
241,97,212.85,2023-02-09 00:00:00,2023-04-10 00:00:00
242,97,254.94,2023-04-10 00:00:01,2023-07-29 00:00:01
243,97,201.04,2023-07-29 00:00:02,
244,98,113.84,2023-01-25 00:00:00,2023-06-27 00:00:00
245,98,116.76,2023-06-27 00:00:01,
246,99,5153.94,2023-01-13 00:00:00,2023-04-28 00:00:00
247,99,4099.42,2023-04-28 00:00:01,2023-07-12 00:00:01
248,99,4229.74,2023-07-12 00:00:02,
249,100,739.48,2023-02-05 00:00:00,2023-03-20 00:00:00
250,100,912.5,2023-03-20 00:00:01,
251,101,210.4,2023-03-23 00:00:00,2023-08-25 00:00:00
252,101,156.57,2023-08-25 00:00:01,
253,102,43.13,2023-03-02 00:00:00,2023-06-27 00:00:00
254,102,38.25,2023-06-27 00:00:01,2023-08-09 00:00:01
255,102,39.38,2023-08-09 00:00:02,
256,103,88.38,2023-01-09 00:00:00,
257,104,2507.07,2023-01-20 00:00:00,
258,105,72.26,2023-01-11 00:00:00,2023-03-12 00:00:00
259,105,62.16,2023-03-12 00:00:01,2023-07-26 00:00:01
260,105,63.28,2023-07-26 00:00:02,
261,106,438.88,2023-04-10 00:00:00,2023-09-02 00:00:00
262,106,502.86,2023-09-02 00:00:01,
263,107,133.32,2023-02-09 00:00:00,2023-03-26 00:00:00
264,107,135.35,2023-03-26 00:00:01,2023-05-20 00:00:01
265,107,152.08,2023-05-20 00:00:02,2023-08-11 00:00:02
266,107,136.14,2023-08-11 00:00:03,
267,108,368.57,2023-01-21 00:00:00,
268,109,22.69,2023-01-01 00:00:00,2023-05-31 00:00:00
269,109,21.64,2023-05-31 00:00:01,
270,110,83.82,2023-03-31 00:00:00,2023-05-18 00:00:00
271,110,78.98,2023-05-18 00:00:01,2023-08-23 00:00:01
272,110,81.8,2023-08-23 00:00:02,
273,111,173.7,2023-02-24 00:00:00,2023-05-22 00:00:00
274,111,215.02,2023-05-22 00:00:01,
275,112,78.28,2023-01-10 00:00:00,2023-04-28 00:00:00
276,112,97.46,2023-04-28 00:00:01,
277,113,467.44,2023-02-26 00:00:00,2023-06-13 00:00:00
278,113,587.01,2023-06-13 00:00:01,2023-09-20 00:00:01
279,113,545.6,2023-09-20 00:00:02,
280,114,59.81,2023-03-18 00:00:00,
281,115,490.11,2023-03-19 00:00:00,2023-05-11 00:00:00
282,115,485.69,2023-05-11 00:00:01,2023-11-04 00:00:01
283,115,559.6,2023-11-04 00:00:02,
284,116,61.78,2023-03-15 00:00:00,2023-05-28 00:00:00
285,116,74.05,2023-05-28 00:00:01,2023-10-18 00:00:01
286,116,86.77,2023-10-18 00:00:02,
287,117,783.73,2023-03-23 00:00:00,2023-05-15 00:00:00
288,117,691.94,2023-05-15 00:00:01,2023-09-26 00:00:01
289,117,655.49,2023-09-26 00:00:02,2023-11-21 00:00:02
290,117,795.33,2023-11-21 00:00:03,
291,118,140.64,2023-02-06 00:00:00,2023-06-18 00:00:00
292,118,148.26,2023-06-18 00:00:01,2023-12-05 00:00:01
293,118,109.06,2023-12-05 00:00:02,2024-01-26 00:00:02
294,118,123.08,2024-01-26 00:00:03,
295,119,419.82,2023-03-07 00:00:00,2023-04-06 00:00:00
296,119,396.02,2023-04-06 00:00:01,2023-09-21 00:00:01
297,119,368.17,2023-09-21 00:00:02,2023-11-03 00:00:02
298,119,329.12,2023-11-03 00:00:03,
299,120,532.84,2023-03-22 00:00:00,2023-05-04 00:00:00
300,120,483.33,2023-05-04 00:00:01,2023-10-21 00:00:01
301,120,468.28,2023-10-21 00:00:02,2024-02-01 00:00:02
302,120,532.02,2024-02-01 00:00:03,
303,121,376.95,2023-01-04 00:00:00,
304,122,139.83,2023-04-01 00:00:00,2023-09-19 00:00:00
305,122,130.97,2023-09-19 00:00:01,
306,123,317.22,2023-01-15 00:00:00,2023-03-16 00:00:00
307,123,340.07,2023-03-16 00:00:01,
308,124,240.56,2023-03-07 00:00:00,2023-07-21 00:00:00
309,124,251.55,2023-07-21 00:00:01,2023-12-18 00:00:01
310,124,201.32,2023-12-18 00:00:02,
311,125,335.72,2023-01-25 00:00:00,2023-07-04 00:00:00
312,125,316.37,2023-07-04 00:00:01,2023-09-06 00:00:01
313,125,329.34,2023-09-06 00:00:02,2023-12-15 00:00:02
314,125,319.28,2023-12-15 00:00:03,
315,126,93.68,2023-04-11 00:00:00,2023-05-11 00:00:00
316,126,85.68,2023-05-11 00:00:01,2023-08-25 00:00:01
317,126,105.42,2023-08-25 00:00:02,
318,127,241.63,2023-01-20 00:00:00,2023-06-22 00:00:00
319,127,232.1,2023-06-22 00:00:01,2023-12-10 00:00:01
320,127,271.36,2023-12-10 00:00:02,2024-04-14 00:00:02
321,127,242.46,2024-04-14 00:00:03,
322,128,1366.52,2023-03-31 00:00:00,2023-08-06 00:00:00
323,128,1363.48,2023-08-06 00:00:01,
324,129,120.28,2023-02-10 00:00:00,
325,130,271.41,2023-02-19 00:00:00,2023-04-28 00:00:00
326,130,228.43,2023-04-28 00:00:01,2023-06-06 00:00:01
327,130,196.25,2023-06-06 00:00:02,2023-09-28 00:00:02
328,130,261.07,2023-09-28 00:00:03,
329,131,182.72,2023-01-13 00:00:00,2023-06-08 00:00:00
330,131,147.53,2023-06-08 00:00:01,2023-08-13 00:00:01
331,131,174.73,2023-08-13 00:00:02,2023-10-21 00:00:02
332,131,151.63,2023-10-21 00:00:03,
333,132,141.08,2023-02-13 00:00:00,2023-06-24 00:00:00
334,132,142.45,2023-06-24 00:00:01,2023-10-16 00:00:01
335,132,152.84,2023-10-16 00:00:02,
336,133,153.35,2023-02-10 00:00:00,2023-07-14 00:00:00
337,133,167.04,2023-07-14 00:00:01,2023-08-22 00:00:01
338,133,152.83,2023-08-22 00:00:02,2023-11-20 00:00:02
339,133,153.6,2023-11-20 00:00:03,
340,134,200.56,2023-04-06 00:00:00,2023-05-31 00:00:00
341,134,261.22,2023-05-31 00:00:01,
342,135,176.88,2023-02-26 00:00:00,
343,136,407.27,2023-01-06 00:00:00,
344,137,180.11,2023-02-17 00:00:00,2023-05-20 00:00:00
345,137,187.2,2023-05-20 00:00:01,2023-11-10 00:00:01
346,137,197.81,2023-11-10 00:00:02,
347,138,75.14,2023-01-11 00:00:00,2023-05-18 00:00:00
348,138,75.42,2023-05-18 00:00:01,
349,139,392.97,2023-01-30 00:00:00,2023-05-05 00:00:00
350,139,392.73,2023-05-05 00:00:01,
351,140,566.07,2023-02-06 00:00:00,2023-04-17 00:00:00
352,140,444.13,2023-04-17 00:00:01,2023-08-13 00:00:01
353,140,628.69,2023-08-13 00:00:02,2023-11-27 00:00:02
354,140,558.26,2023-11-27 00:00:03,
355,141,642.06,2023-02-28 00:00:00,2023-05-19 00:00:00
356,141,675.36,2023-05-19 00:00:01,2023-10-19 00:00:01
357,141,482.39,2023-10-19 00:00:02,
358,142,548.99,2023-03-15 00:00:00,2023-06-28 00:00:00
359,142,486.87,2023-06-28 00:00:01,2023-11-06 00:00:01
360,142,544.13,2023-11-06 00:00:02,
361,143,55.35,2023-03-19 00:00:00,
362,144,1252.34,2023-04-10 00:00:00,2023-08-08 00:00:00
363,144,1003.97,2023-08-08 00:00:01,2023-10-25 00:00:01
364,144,1176.11,2023-10-25 00:00:02,
365,145,337.63,2023-03-22 00:00:00,2023-05-01 00:00:00
366,145,369.8,2023-05-01 00:00:01,
367,146,357.04,2023-04-04 00:00:00,2023-07-18 00:00:00
368,146,387.94,2023-07-18 00:00:01,2023-12-01 00:00:01
369,146,364.03,2023-12-01 00:00:02,
370,147,124.32,2023-03-09 00:00:00,2023-06-16 00:00:00
371,147,139.88,2023-06-16 00:00:01,2023-09-19 00:00:01
372,147,143.83,2023-09-19 00:00:02,
373,148,846.67,2023-04-06 00:00:00,2023-06-04 00:00:00
374,148,733.02,2023-06-04 00:00:01,2023-07-23 00:00:01
375,148,640.43,2023-07-23 00:00:02,
376,149,56.4,2023-03-13 00:00:00,2023-07-22 00:00:00
377,149,48.43,2023-07-22 00:00:01,2024-01-05 00:00:01
378,149,50.92,2024-01-05 00:00:02,2024-05-08 00:00:02
379,149,63.35,2024-05-08 00:00:03,
380,150,279.33,2023-03-23 00:00:00,2023-05-19 00:00:00
381,150,255.14,2023-05-19 00:00:01,2023-10-16 00:00:01
382,150,195.93,2023-10-16 00:00:02,2024-04-06 00:00:02
383,150,223.54,2024-04-06 00:00:03,
384,151,52.78,2023-03-23 00:00:00,
385,152,139.67,2023-03-25 00:00:00,2023-05-29 00:00:00
386,152,119.66,2023-05-29 00:00:01,2023-07-07 00:00:01
387,152,133.94,2023-07-07 00:00:02,
388,153,41.42,2023-01-31 00:00:00,
389,154,164.42,2023-02-17 00:00:00,2023-08-04 00:00:00
390,154,149.64,2023-08-04 00:00:01,2023-10-12 00:00:01
391,154,177.06,2023-10-12 00:00:02,2023-12-06 00:00:02
392,154,174.02,2023-12-06 00:00:03,
393,155,75.92,2023-01-05 00:00:00,2023-03-31 00:00:00
394,155,69.26,2023-03-31 00:00:01,2023-06-29 00:00:01
395,155,80.38,2023-06-29 00:00:02,
396,156,180.95,2023-03-11 00:00:00,2023-07-10 00:00:00
397,156,130.66,2023-07-10 00:00:01,2023-10-18 00:00:01
398,156,138.39,2023-10-18 00:00:02,
399,157,2278.5,2023-01-12 00:00:00,2023-02-16 00:00:00
400,157,1778.14,2023-02-16 00:00:01,2023-06-11 00:00:01
401,157,1935.88,2023-06-11 00:00:02,2023-08-12 00:00:02
402,157,2380.02,2023-08-12 00:00:03,
403,158,200.61,2023-03-17 00:00:00,2023-06-14 00:00:00
404,158,210.26,2023-06-14 00:00:01,
405,159,176.4,2023-02-05 00:00:00,
406,160,110.05,2023-03-11 00:00:00,2023-05-24 00:00:00
407,160,103.53,2023-05-24 00:00:01,
408,161,236.96,2023-01-02 00:00:00,2023-04-02 00:00:00
409,161,258.97,2023-04-02 00:00:01,
410,162,695.16,2023-01-07 00:00:00,2023-05-24 00:00:00
411,162,818.44,2023-05-24 00:00:01,2023-07-09 00:00:01
412,162,803.06,2023-07-09 00:00:02,
413,163,150.26,2023-02-27 00:00:00,
414,164,259.43,2023-04-04 00:00:00,
415,165,239.73,2023-02-28 00:00:00,2023-04-06 00:00:00
416,165,189.28,2023-04-06 00:00:01,2023-09-05 00:00:01
417,165,257.39,2023-09-05 00:00:02,
418,166,122.59,2023-03-04 00:00:00,
419,167,125.02,2023-02-11 00:00:00,
420,168,74.34,2023-03-21 00:00:00,2023-09-07 00:00:00
421,168,76.47,2023-09-07 00:00:01,2024-01-12 00:00:01
422,168,84.08,2024-01-12 00:00:02,
423,169,515.45,2023-03-06 00:00:00,2023-04-30 00:00:00
424,169,550.88,2023-04-30 00:00:01,2023-06-28 00:00:01
425,169,562.15,2023-06-28 00:00:02,2023-12-16 00:00:02
426,169,537.24,2023-12-16 00:00:03,
427,170,769.39,2023-01-30 00:00:00,2023-06-25 00:00:00
428,170,764.82,2023-06-25 00:00:01,2023-08-18 00:00:01
429,170,738.7,2023-08-18 00:00:02,2023-12-06 00:00:02
430,170,845.55,2023-12-06 00:00:03,
431,171,68.1,2023-03-29 00:00:00,2023-05-15 00:00:00
432,171,49.52,2023-05-15 00:00:01,
433,172,57.13,2023-01-13 00:00:00,2023-05-18 00:00:00
434,172,58.47,2023-05-18 00:00:01,2023-11-06 00:00:01
435,172,43.5,2023-11-06 00:00:02,2024-04-27 00:00:02
436,172,53.49,2024-04-27 00:00:03,
437,173,122.85,2023-02-15 00:00:00,2023-07-03 00:00:00
438,173,122.62,2023-07-03 00:00:01,2023-08-15 00:00:01
439,173,126.73,2023-08-15 00:00:02,2023-12-02 00:00:02
440,173,101.46,2023-12-02 00:00:03,
441,174,87.42,2023-01-20 00:00:00,2023-04-17 00:00:00
442,174,93.41,2023-04-17 00:00:01,
443,175,232.93,2023-01-15 00:00:00,2023-07-10 00:00:00
444,175,189.65,2023-07-10 00:00:01,2023-11-26 00:00:01
445,175,239.58,2023-11-26 00:00:02,
446,176,204.81,2023-03-19 00:00:00,
447,177,188.15,2023-01-04 00:00:00,2023-04-23 00:00:00
448,177,248.63,2023-04-23 00:00:01,2023-08-20 00:00:01
449,177,173.92,2023-08-20 00:00:02,
450,178,96.83,2023-01-09 00:00:00,2023-02-15 00:00:00
451,178,94.69,2023-02-15 00:00:01,2023-07-30 00:00:01
452,178,99.96,2023-07-30 00:00:02,2023-12-14 00:00:02
453,178,110.15,2023-12-14 00:00:03,
454,179,395.14,2023-04-03 00:00:00,2023-09-25 00:00:00
455,179,439.0,2023-09-25 00:00:01,2023-11-07 00:00:01
456,179,367.91,2023-11-07 00:00:02,
457,180,206.84,2023-03-28 00:00:00,
458,181,221.87,2023-03-04 00:00:00,2023-07-18 00:00:00
459,181,194.75,2023-07-18 00:00:01,2023-12-26 00:00:01
460,181,181.81,2023-12-26 00:00:02,2024-05-14 00:00:02
461,181,181.57,2024-05-14 00:00:03,
462,182,283.75,2023-03-09 00:00:00,2023-04-19 00:00:00
463,182,238.36,2023-04-19 00:00:01,2023-06-02 00:00:01
464,182,216.73,2023-06-02 00:00:02,2023-09-17 00:00:02
465,182,312.02,2023-09-17 00:00:03,
466,183,244.26,2023-02-07 00:00:00,2023-03-10 00:00:00
467,183,261.12,2023-03-10 00:00:01,2023-07-28 00:00:01
468,183,229.08,2023-07-28 00:00:02,
469,184,126.83,2023-03-06 00:00:00,2023-07-04 00:00:00
470,184,103.83,2023-07-04 00:00:01,
471,185,118.55,2023-02-25 00:00:00,
472,186,343.69,2023-03-15 00:00:00,2023-07-26 00:00:00
473,186,381.4,2023-07-26 00:00:01,2023-12-09 00:00:01
474,186,324.89,2023-12-09 00:00:02,
475,187,70.69,2023-01-22 00:00:00,2023-06-18 00:00:00
