shipment_status_history_id,shipment_id,shipment_status_id,status_from,status_to
83,27,2,2023-10-13 18:47:28,2023-10-15 03:47:28
84,27,3,2023-10-15 03:47:28,2023-10-15 16:47:28
85,27,4,2023-10-15 16:47:28,
86,28,1,2023-08-16 19:02:53,2023-08-17 13:02:53
87,28,2,2023-08-17 13:02:53,2023-08-18 03:02:53
88,28,3,2023-08-18 03:02:53,2023-08-18 23:02:53
89,28,4,2023-08-18 23:02:53,
90,29,1,2023-07-23 22:49:35,2023-07-25 06:49:35
91,29,2,2023-07-25 06:49:35,2023-07-25 23:49:35
92,29,3,2023-07-25 23:49:35,
93,30,1,2024-06-12 13:50:59,2024-06-13 06:50:59
94,30,2,2024-06-13 06:50:59,2024-06-13 23:50:59
95,30,3,2024-06-13 23:50:59,
96,31,1,2024-07-23 18:22:19,2024-07-24 21:22:19
97,31,2,2024-07-24 21:22:19,2024-07-25 11:22:19
98,31,3,2024-07-25 11:22:19,2024-07-26 15:22:19
99,31,4,2024-07-26 15:22:19,
100,32,1,2023-10-21 22:41:32,2023-10-23 00:41:32
101,32,2,2023-10-23 00:41:32,2023-10-23 08:41:32
102,32,3,2023-10-23 08:41:32,2023-10-24 09:41:32
103,32,4,2023-10-24 09:41:32,
104,33,1,2024-04-02 00:22:46,2024-04-02 11:22:46
105,33,2,2024-04-02 11:22:46,2024-04-03 10:22:46
106,33,3,2024-04-03 10:22:46,2024-04-04 15:22:46
107,33,4,2024-04-04 15:22:46,
108,34,1,2023-07-07 01:58:21,2023-07-07 12:58:21
109,34,2,2023-07-07 12:58:21,2023-07-08 08:58:21
110,34,3,2023-07-08 08:58:21,
111,35,1,2023-12-27 17:25:44,2023-12-28 07:25:44
112,35,2,2023-12-28 07:25:44,2023-12-29 18:25:44
113,35,3,2023-12-29 18:25:44,
114,36,1,2024-01-08 05:38:41,2024-01-09 09:38:41
115,36,2,2024-01-09 09:38:41,2024-01-10 08:38:41
116,36,3,2024-01-10 08:38:41,
117,37,1,2023-09-30 01:19:14,2023-10-01 04:19:14
118,37,2,2023-10-01 04:19:14,2023-10-01 20:19:14
119,37,3,2023-10-01 20:19:14,2023-10-03 04:19:14
120,37,4,2023-10-03 04:19:14,
121,38,1,2024-08-09 03:29:26,2024-08-09 16:29:26
122,38,2,2024-08-09 16:29:26,2024-08-11 00:29:26
123,38,3,2024-08-11 00:29:26,
124,39,1,2024-02-21 15:03:35,2024-02-22 22:03:35
125,39,2,2024-02-22 22:03:35,2024-02-23 14:03:35
126,39,3,2024-02-23 14:03:35,2024-02-24 08:03:35
127,39,4,2024-02-24 08:03:35,
128,40,1,2024-06-15 20:28:16,2024-06-16 04:28:16
129,40,2,2024-06-16 04:28:16,2024-06-16 16:28:16
130,40,3,2024-06-16 16:28:16,
131,41,1,2023-07-12 14:09:14,2023-07-14 00:09:14
132,41,2,2023-07-14 00:09:14,2023-07-15 04:09:14
133,41,3,2023-07-15 04:09:14,2023-07-15 20:09:14
134,41,4,2023-07-15 20:09:14,
135,42,1,2024-03-04 18:26:03,2024-03-05 20:26:03
136,42,2,2024-03-05 20:26:03,2024-03-06 17:26:03
137,42,3,2024-03-06 17:26:03,2024-03-07 11:26:03
138,42,4,2024-03-07 11:26:03,
139,43,1,2023-09-21 19:27:31,2023-09-22 15:27:31
140,43,2,2023-09-22 15:27:31,2023-09-23 01:27:31
141,43,3,2023-09-23 01:27:31,
142,44,1,2024-01-06 09:55:29,2024-01-06 19:55:29
143,44,2,2024-01-06 19:55:29,2024-01-07 08:55:29
144,44,3,2024-01-07 08:55:29,2024-01-08 13:55:29
145,44,4,2024-01-08 13:55:29,
146,45,1,2024-01-27 09:47:34,2024-01-28 08:47:34
147,45,2,2024-01-28 08:47:34,
148,46,1,2024-08-03 05:39:09,2024-08-04 10:39:09
149,46,2,2024-08-04 10:39:09,2024-08-05 10:39:09
150,46,3,2024-08-05 10:39:09,
151,47,1,2024-05-24 15:49:23,2024-05-26 01:49:23
152,47,2,2024-05-26 01:49:23,2024-05-27 01:49:23
153,47,3,2024-05-27 01:49:23,2024-05-27 19:49:23
154,47,4,2024-05-27 19:49:23,
155,48,1,2024-05-12 18:25:45,2024-05-13 07:25:45
156,48,2,2024-05-13 07:25:45,2024-05-13 17:25:45
157,48,3,2024-05-13 17:25:45,2024-05-14 15:25:45
158,48,4,2024-05-14 15:25:45,
159,49,1,2024-02-28 21:42:23,2024-02-29 05:42:23
160,49,2,2024-02-29 05:42:23,2024-03-01 11:42:23
161,49,3,2024-03-01 11:42:23,2024-03-01 18:42:23
162,49,4,2024-03-01 18:42:23,
163,50,1,2024-01-08 13:40:57,2024-01-08 23:40:57
164,50,2,2024-01-08 23:40:57,2024-01-10 01:40:57
165,50,3,2024-01-10 01:40:57,2024-01-10 12:40:57
166,50,4,2024-01-10 12:40:57,2024-01-11 19:40:57
167,50,6,2024-01-11 19:40:57,
168,51,1,2024-07-28 10:37:17,2024-07-29 05:37:17
169,51,2,2024-07-29 05:37:17,2024-07-30 06:37:17
170,51,3,2024-07-30 06:37:17,2024-07-30 14:37:17
171,51,4,2024-07-30 14:37:17,
172,52,1,2024-08-09 17:11:31,2024-08-10 11:11:31
173,52,2,2024-08-10 11:11:31,2024-08-11 12:11:31
174,52,3,2024-08-11 12:11:31,2024-08-12 08:11:31
175,52,4,2024-08-12 08:11:31,
176,53,1,2024-06-03 22:31:35,2024-06-04 12:31:35
177,53,2,2024-06-04 12:31:35,2024-06-05 11:31:35
178,53,3,2024-06-05 11:31:35,
179,54,1,2024-03-10 17:22:27,2024-03-11 20:22:27
180,54,2,2024-03-11 20:22:27,2024-03-13 01:22:27
181,54,3,2024-03-13 01:22:27,2024-03-13 10:22:27
182,54,4,2024-03-13 10:22:27,
183,55,1,2024-03-02 09:11:12,2024-03-03 19:11:12
184,55,2,2024-03-03 19:11:12,2024-03-04 18:11:12
185,55,3,2024-03-04 18:11:12,2024-03-06 00:11:12
186,55,4,2024-03-06 00:11:12,
187,56,1,2024-02-29 09:17:02,2024-03-01 15:17:02
188,56,2,2024-03-01 15:17:02,2024-03-02 17:17:02
189,56,3,2024-03-02 17:17:02,2024-03-03 09:17:02
190,56,4,2024-03-03 09:17:02,
191,57,1,2023-06-27 10:55:30,2023-06-28 01:55:30
192,57,2,2023-06-28 01:55:30,2023-06-28 20:55:30
193,57,3,2023-06-28 20:55:30,2023-06-29 07:55:30
194,57,4,2023-06-29 07:55:30,
195,58,1,2024-03-12 21:38:38,2024-03-13 03:38:38
196,58,2,2024-03-13 03:38:38,2024-03-14 15:38:38
197,58,3,2024-03-14 15:38:38,2024-03-15 20:38:38
198,58,4,2024-03-15 20:38:38,
199,59,1,2024-05-04 14:10:15,2024-05-05 04:10:15
200,59,2,2024-05-05 04:10:15,2024-05-06 02:10:15
201,59,3,2024-05-06 02:10:15,2024-05-07 08:10:15
202,59,4,2024-05-07 08:10:15,
203,60,1,2024-03-31 18:18:02,2024-04-01 16:18:02
204,60,2,2024-04-01 16:18:02,2024-04-03 03:18:02
205,60,3,2024-04-03 03:18:02,2024-04-03 12:18:02
206,60,4,2024-04-03 12:18:02,
207,61,1,2024-03-05 18:41:09,2024-03-06 09:41:09
208,61,2,2024-03-06 09:41:09,2024-03-07 17:41:09
209,61,3,2024-03-07 17:41:09,2024-03-08 19:41:09
210,61,4,2024-03-08 19:41:09,
211,62,1,2024-06-19 03:58:18,2024-06-20 04:58:18
212,62,2,2024-06-20 04:58:18,
213,63,1,2023-06-21 17:47:20,2023-06-22 03:47:20
214,63,2,2023-06-22 03:47:20,2023-06-22 20:47:20
215,63,3,2023-06-22 20:47:20,
216,64,1,2024-05-10 11:36:02,2024-05-11 10:36:02
217,64,2,2024-05-11 10:36:02,2024-05-12 22:36:02
218,64,3,2024-05-12 22:36:02,2024-05-14 04:36:02
219,64,5,2024-05-14 04:36:02,
220,65,1,2023-11-18 19:42:06,2023-11-20 06:42:06
221,65,2,2023-11-20 06:42:06,2023-11-20 12:42:06
222,65,3,2023-11-20 12:42:06,2023-11-21 13:42:06
223,65,4,2023-11-21 13:42:06,2023-11-22 05:42:06
224,65,6,2023-11-22 05:42:06,
225,66,1,2023-07-30 20:55:32,2023-07-31 02:55:32
226,66,2,2023-07-31 02:55:32,2023-07-31 11:55:32
227,66,3,2023-07-31 11:55:32,2023-08-01 22:55:32
228,66,4,2023-08-01 22:55:32,
229,67,1,2023-10-15 23:08:59,2023-10-17 09:08:59
230,67,2,2023-10-17 09:08:59,2023-10-18 17:08:59
231,67,3,2023-10-18 17:08:59,2023-10-20 00:08:59
232,67,4,2023-10-20 00:08:59,
233,68,1,2024-08-04 08:29:07,2024-08-04 21:29:07
234,68,2,2024-08-04 21:29:07,2024-08-05 04:29:07
235,68,3,2024-08-05 04:29:07,2024-08-05 17:29:07
236,68,4,2024-08-05 17:29:07,
237,69,1,2024-03-09 14:24:12,2024-03-11 02:24:12
238,69,2,2024-03-11 02:24:12,2024-03-11 10:24:12
239,69,3,2024-03-11 10:24:12,2024-03-11 18:24:12
240,69,4,2024-03-11 18:24:12,
241,70,1,2024-07-09 04:17:52,2024-07-10 01:17:52
242,70,2,2024-07-10 01:17:52,2024-07-11 09:17:52
243,70,3,2024-07-11 09:17:52,2024-07-11 17:17:52
244,70,4,2024-07-11 17:17:52,
245,71,1,2024-03-10 02:24:29,2024-03-11 08:24:29
246,71,2,2024-03-11 08:24:29,2024-03-11 18:24:29
247,71,3,2024-03-11 18:24:29,2024-03-12 04:24:29
248,71,4,2024-03-12 04:24:29,
249,72,1,2023-08-05 03:37:21,2023-08-06 00:37:21
250,72,2,2023-08-06 00:37:21,2023-08-07 12:37:21
251,72,3,2023-08-07 12:37:21,2023-08-08 11:37:21
252,72,4,2023-08-08 11:37:21,
253,73,1,2024-06-04 07:26:55,2024-06-04 21:26:55
254,73,2,2024-06-04 21:26:55,2024-06-05 19:26:55
255,73,3,2024-06-05 19:26:55,2024-06-07 04:26:55
256,73,4,2024-06-07 04:26:55,
257,74,1,2023-06-20 05:04:15,2023-06-21 00:04:15
258,74,2,2023-06-21 00:04:15,
259,75,1,2023-08-26 02:19:57,2023-08-27 13:19:57
260,75,2,2023-08-27 13:19:57,2023-08-28 12:19:57
261,75,3,2023-08-28 12:19:57,2023-08-29 18:19:57
262,75,4,2023-08-29 18:19:57,
263,76,1,2024-01-07 16:15:33,2024-01-08 20:15:33
264,76,2,2024-01-08 20:15:33,2024-01-09 08:15:33
265,76,3,2024-01-09 08:15:33,
266,77,1,2024-03-25 16:14:29,2024-03-26 07:14:29
267,77,2,2024-03-26 07:14:29,2024-03-27 01:14:29
268,77,3,2024-03-27 01:14:29,2024-03-28 04:14:29
269,77,4,2024-03-28 04:14:29,
270,78,1,2024-03-27 20:40:27,2024-03-28 13:40:27
271,78,2,2024-03-28 13:40:27,
272,79,1,2023-12-02 02:18:44,2023-12-03 12:18:44
273,79,2,2023-12-03 12:18:44,2023-12-04 10:18:44
274,79,3,2023-12-04 10:18:44,2023-12-05 06:18:44
275,79,4,2023-12-05 06:18:44,
276,80,1,2024-04-21 08:39:16,2024-04-21 21:39:16
277,80,2,2024-04-21 21:39:16,2024-04-22 10:39:16
278,80,3,2024-04-22 10:39:16,2024-04-22 18:39:16
279,80,4,2024-04-22 18:39:16,
280,81,1,2023-06-19 00:23:46,2023-06-19 06:23:46
281,81,2,2023-06-19 06:23:46,2023-06-20 06:23:46
282,81,3,2023-06-20 06:23:46,2023-06-21 05:23:46
283,81,4,2023-06-21 05:23:46,
284,82,1,2024-02-12 12:53:10,2024-02-13 12:53:10
285,82,2,2024-02-13 12:53:10,2024-02-14 01:53:10
286,82,3,2024-02-14 01:53:10,
287,83,1,2024-06-05 22:25:54,2024-06-06 06:25:54
288,83,2,2024-06-06 06:25:54,2024-06-07 10:25:54
289,83,3,2024-06-07 10:25:54,2024-06-08 12:25:54
290,83,4,2024-06-08 12:25:54,
291,84,1,2023-12-08 04:43:14,2023-12-08 17:43:14
292,84,2,2023-12-08 17:43:14,2023-12-09 01:43:14
293,84,3,2023-12-09 01:43:14,2023-12-10 11:43:14
294,84,5,2023-12-10 11:43:14,
295,85,1,2024-02-08 04:06:15,2024-02-09 13:06:15
296,85,2,2024-02-09 13:06:15,2024-02-10 05:06:15
297,85,3,2024-02-10 05:06:15,2024-02-10 13:06:15
298,85,4,2024-02-10 13:06:15,
299,86,1,2023-06-18 07:23:13,2023-06-18 20:23:13
300,86,2,2023-06-18 20:23:13,2023-06-19 10:23:13
301,86,3,2023-06-19 10:23:13,2023-06-20 13:23:13
302,86,4,2023-06-20 13:23:13,
303,87,1,2023-12-21 16:12:07,2023-12-22 04:12:07
304,87,2,2023-12-22 04:12:07,2023-12-23 03:12:07
305,87,3,2023-12-23 03:12:07,2023-12-23 13:12:07
306,87,4,2023-12-23 13:12:07,2023-12-24 18:12:07
307,87,6,2023-12-24 18:12:07,
308,88,1,2024-07-08 04:13:04,2024-07-09 04:13:04
309,88,2,2024-07-09 04:13:04,2024-07-10 01:13:04
310,88,3,2024-07-10 01:13:04,2024-07-10 14:13:04
311,88,4,2024-07-10 14:13:04,
312,89,1,2024-08-13 12:08:34,2024-08-14 19:08:34
313,89,2,2024-08-14 19:08:34,2024-08-15 14:08:34
314,89,3,2024-08-15 14:08:34,2024-08-16 02:08:34
315,89,4,2024-08-16 02:08:34,
316,90,1,2024-07-09 09:37:20,2024-07-09 18:37:20
317,90,2,2024-07-09 18:37:20,2024-07-10 21:37:20
318,90,3,2024-07-10 21:37:20,
319,91,1,2023-07-30 06:04:30,
320,92,1,2024-01-06 03:06:31,2024-01-06 22:06:31
321,92,2,2024-01-06 22:06:31,2024-01-07 17:06:31
322,92,3,2024-01-07 17:06:31,
323,93,1,2023-08-04 16:39:40,
324,94,1,2024-01-18 19:26:21,2024-01-19 02:26:21
325,94,2,2024-01-19 02:26:21,2024-01-20 05:26:21
326,94,3,2024-01-20 05:26:21,
327,95,1,2024-05-06 19:23:09,2024-05-07 21:23:09
328,95,2,2024-05-07 21:23:09,2024-05-08 06:23:09
329,95,3,2024-05-08 06:23:09,2024-05-08 13:23:09
330,95,4,2024-05-08 13:23:09,
331,96,1,2023-07-21 06:47:23,2023-07-22 11:47:23
332,96,2,2023-07-22 11:47:23,2023-07-23 03:47:23
333,96,3,2023-07-23 03:47:23,2023-07-24 10:47:23
334,96,4,2023-07-24 10:47:23,
335,97,1,2024-03-22 18:13:09,2024-03-23 07:13:09
336,97,2,2024-03-23 07:13:09,2024-03-23 19:13:09
337,97,3,2024-03-23 19:13:09,2024-03-24 07:13:09
338,97,4,2024-03-24 07:13:09,
339,98,1,2024-06-25 17:36:14,2024-06-26 13:36:14
340,98,2,2024-06-26 13:36:14,2024-06-26 23:36:14
341,98,3,2024-06-26 23:36:14,2024-06-27 18:36:14
342,98,4,2024-06-27 18:36:14,
343,99,1,2024-08-19 07:36:42,2024-08-19 21:36:42
344,99,2,2024-08-19 21:36:42,2024-08-20 17:36:42
345,99,3,2024-08-20 17:36:42,2024-08-21 06:36:42
346,99,4,2024-08-21 06:36:42,
347,100,1,2024-01-01 16:21:10,2024-01-02 12:21:10
348,100,2,2024-01-02 12:21:10,2024-01-03 19:21:10
349,100,3,2024-01-03 19:21:10,2024-01-05 04:21:10
350,100,4,2024-01-05 04:21:10,
351,101,1,2023-07-12 17:28:42,2023-07-13 02:28:42
352,101,2,2023-07-13 02:28:42,2023-07-13 09:28:42
353,101,3,2023-07-13 09:28:42,
354,102,1,2024-05-14 08:37:31,2024-05-15 07:37:31
355,102,2,2024-05-15 07:37:31,2024-05-16 15:37:31
356,102,3,2024-05-16 15:37:31,2024-05-16 21:37:31
357,102,4,2024-05-16 21:37:31,
358,103,1,2023-09-17 06:48:16,2023-09-18 17:48:16
359,103,2,2023-09-18 17:48:16,2023-09-19 23:48:16
360,103,3,2023-09-19 23:48:16,2023-09-21 08:48:16
361,103,4,2023-09-21 08:48:16,
362,104,1,2023-08-06 16:34:45,2023-08-07 03:34:45
363,104,2,2023-08-07 03:34:45,2023-08-07 22:34:45
364,104,3,2023-08-07 22:34:45,2023-08-08 19:34:45
365,104,4,2023-08-08 19:34:45,
366,105,1,2023-06-10 22:58:04,2023-06-11 10:58:04
367,105,2,2023-06-11 10:58:04,2023-06-12 19:58:04
368,105,3,2023-06-12 19:58:04,2023-06-13 13:58:04
369,105,4,2023-06-13 13:58:04,
370,106,1,2023-12-03 03:27:54,2023-12-03 14:27:54
371,106,2,2023-12-03 14:27:54,
372,107,1,2024-04-20 10:33:32,2024-04-20 16:33:32
373,107,2,2024-04-20 16:33:32,2024-04-21 10:33:32
374,107,3,2024-04-21 10:33:32,2024-04-22 00:33:32
375,107,4,2024-04-22 00:33:32,
376,108,1,2024-04-04 12:48:48,2024-04-05 03:48:48
377,108,2,2024-04-05 03:48:48,2024-04-05 22:48:48
378,108,3,2024-04-05 22:48:48,
379,109,1,2024-01-28 02:40:19,2024-01-29 14:40:19
380,109,2,2024-01-29 14:40:19,2024-01-30 19:40:19
381,109,3,2024-01-30 19:40:19,2024-02-01 02:40:19
382,109,4,2024-02-01 02:40:19,
383,110,1,2024-04-01 01:24:29,2024-04-02 04:24:29
384,110,2,2024-04-02 04:24:29,2024-04-03 08:24:29
385,110,3,2024-04-03 08:24:29,2024-04-04 05:24:29
386,110,4,2024-04-04 05:24:29,
387,111,1,2024-05-31 05:32:41,2024-05-31 17:32:41
388,111,2,2024-05-31 17:32:41,2024-06-01 08:32:41
389,111,3,2024-06-01 08:32:41,2024-06-01 20:32:41
390,111,4,2024-06-01 20:32:41,
391,112,1,2024-07-01 11:43:38,2024-07-02 11:43:38
392,112,2,2024-07-02 11:43:38,2024-07-03 16:43:38
393,112,3,2024-07-03 16:43:38,2024-07-04 15:43:38
394,112,4,2024-07-04 15:43:38,
395,113,1,2024-05-13 13:18:16,2024-05-14 18:18:16
396,113,2,2024-05-14 18:18:16,
397,114,1,2024-05-02 04:42:25,2024-05-02 11:42:25
398,114,2,2024-05-02 11:42:25,2024-05-02 18:42:25
399,114,3,2024-05-02 18:42:25,2024-05-03 18:42:25
400,114,4,2024-05-03 18:42:25,
401,115,1,2023-12-03 08:23:19,2023-12-04 06:23:19
402,115,2,2023-12-04 06:23:19,2023-12-05 17:23:19
403,115,3,2023-12-05 17:23:19,2023-12-07 02:23:19
404,115,4,2023-12-07 02:23:19,
405,116,1,2023-11-21 04:08:38,2023-11-21 15:08:38
406,116,2,2023-11-21 15:08:38,2023-11-21 22:08:38
407,116,3,2023-11-21 22:08:38,
408,117,1,2024-05-13 08:15:28,2024-05-13 16:15:28
409,117,2,2024-05-13 16:15:28,2024-05-15 01:15:28
410,117,3,2024-05-15 01:15:28,2024-05-15 12:15:28
411,117,4,2024-05-15 12:15:28,
412,118,1,2024-06-28 11:49:24,2024-06-29 12:49:24
413,118,2,2024-06-29 12:49:24,2024-06-29 20:49:24
414,118,3,2024-06-29 20:49:24,2024-06-30 23:49:24
415,118,4,2024-06-30 23:49:24,
416,119,1,2024-03-10 07:45:54,2024-03-11 01:45:54
417,119,2,2024-03-11 01:45:54,2024-03-11 10:45:54
418,119,3,2024-03-11 10:45:54,2024-03-12 22:45:54
419,119,4,2024-03-12 22:45:54,
420,120,1,2024-02-18 14:53:27,2024-02-19 03:53:27
421,120,2,2024-02-19 03:53:27,2024-02-20 03:53:27
422,120,3,2024-02-20 03:53:27,
423,121,1,2023-12-09 17:01:20,2023-12-10 00:01:20
424,121,2,2023-12-10 00:01:20,2023-12-11 01:01:20
425,121,3,2023-12-11 01:01:20,
426,122,1,2024-07-30 06:48:45,2024-07-31 01:48:45
427,122,2,2024-07-31 01:48:45,2024-08-01 04:48:45
428,122,3,2024-08-01 04:48:45,2024-08-02 04:48:45
429,122,4,2024-08-02 04:48:45,
430,123,1,2023-09-19 14:35:46,2023-09-20 12:35:46
431,123,2,2023-09-20 12:35:46,2023-09-21 04:35:46
432,123,3,2023-09-21 04:35:46,
433,124,1,2024-07-12 00:29:04,2024-07-12 12:29:04
434,124,2,2024-07-12 12:29:04,2024-07-13 15:29:04
435,124,3,2024-07-13 15:29:04,
436,125,1,2024-03-20 01:11:42,2024-03-20 17:11:42
437,125,2,2024-03-20 17:11:42,2024-03-21 06:11:42
438,125,3,2024-03-21 06:11:42,2024-03-21 20:11:42
439,125,4,2024-03-21 20:11:42,
440,126,1,2024-04-21 19:23:16,2024-04-22 05:23:16
441,126,2,2024-04-22 05:23:16,
442,127,1,2024-05-03 07:06:49,2024-05-04 09:06:49
443,127,2,2024-05-04 09:06:49,
444,128,1,2024-05-16 19:44:30,2024-05-17 15:44:30
445,128,2,2024-05-17 15:44:30,2024-05-18 07:44:30
446,128,3,2024-05-18 07:44:30,2024-05-19 18:44:30
447,128,4,2024-05-19 18:44:30,
448,129,1,2023-06-23 08:56:02,2023-06-23 14:56:02
449,129,2,2023-06-23 14:56:02,2023-06-24 10:56:02
450,129,3,2023-06-24 10:56:02,
451,130,1,2023-11-17 18:07:51,2023-11-18 18:07:51
452,130,2,2023-11-18 18:07:51,
453,131,1,2024-06-07 15:05:27,2024-06-07 23:05:27
454,131,2,2024-06-07 23:05:27,
455,132,1,2024-01-14 20:28:02,2024-01-15 08:28:02
456,132,2,2024-01-15 08:28:02,2024-01-16 06:28:02
457,132,3,2024-01-16 06:28:02,2024-01-16 20:28:02
458,132,4,2024-01-16 20:28:02,
459,133,1,2023-08-04 05:15:49,2023-08-05 16:15:49
460,133,2,2023-08-05 16:15:49,2023-08-06 09:15:49
461,133,3,2023-08-06 09:15:49,2023-08-07 19:15:49
462,133,4,2023-08-07 19:15:49,
463,134,1,2023-08-10 18:23:25,2023-08-12 04:23:25
464,134,2,2023-08-12 04:23:25,2023-08-12 17:23:25
465,134,3,2023-08-12 17:23:25,
466,135,1,2024-02-21 18:58:35,
467,136,1,2024-08-10 07:28:11,2024-08-10 18:28:11
468,136,2,2024-08-10 18:28:11,2024-08-11 14:28:11
469,136,3,2024-08-11 14:28:11,2024-08-12 22:28:11
470,136,4,2024-08-12 22:28:11,
471,137,1,2023-07-05 02:34:18,2023-07-06 06:34:18
472,137,2,2023-07-06 06:34:18,2023-07-06 21:34:18
473,137,3,2023-07-06 21:34:18,2023-07-07 22:34:18
474,137,4,2023-07-07 22:34:18,
475,138,1,2023-06-14 22:35:36,2023-06-15 20:35:36
476,138,2,2023-06-15 20:35:36,2023-06-16 02:35:36
477,138,3,2023-06-16 02:35:36,2023-06-17 05:35:36
478,138,4,2023-06-17 05:35:36,
479,139,1,2024-04-24 11:28:29,2024-04-25 02:28:29
480,139,2,2024-04-25 02:28:29,2024-04-26 13:28:29
481,139,3,2024-04-26 13:28:29,2024-04-27 16:28:29
482,139,4,2024-04-27 16:28:29,
483,140,1,2024-05-29 09:22:33,2024-05-30 21:22:33
484,140,2,2024-05-30 21:22:33,2024-06-01 07:22:33
485,140,3,2024-06-01 07:22:33,
486,141,1,2024-02-29 05:32:41,2024-02-29 19:32:41
487,141,2,2024-02-29 19:32:41,
488,142,1,2023-06-24 22:49:36,2023-06-26 08:49:36
